Tumor_Sample_Barcode	total	cohort
TCGA-AB-2808-03B-01W-0728-08	741	LAML
TCGA-AB-2828-03B-01W-0728-08	718	LAML
TCGA-AB-2826-03B-01W-0728-08	616	LAML
TCGA-AB-2806-03B-01W-0728-08	491	LAML
TCGA-AB-2833-03B-01W-0728-08	445	LAML
TCGA-AB-2854-03B-01W-0728-08	285	LAML
TCGA-AB-2807-03B-01W-0728-08	232	LAML
TCGA-AB-2868-03B-01W-0728-08	66	LAML
TCGA-AB-2805-03B-01W-0728-08	45	LAML
TCGA-AB-2804-03B-01W-0728-08	38	LAML
TCGA-AB-2857-03B-01W-0728-08	32	LAML
TCGA-AB-2885-03A-01W-0732-08	30	LAML
TCGA-AB-2867-03B-01W-0728-08	29	LAML
TCGA-AB-2938-03A-01W-0732-08	29	LAML
TCGA-AB-2849-03B-01W-0728-08	27	LAML
TCGA-AB-2851-03B-01W-0728-08	26	LAML
TCGA-AB-2904-03A-01W-0732-08	26	LAML
TCGA-AB-2950-03A-01W-0733-08	26	LAML
TCGA-AB-2824-03B-01W-0728-08	25	LAML
TCGA-AB-2912-03A-01W-0732-08	24	LAML
TCGA-AB-2959-03A-01W-0733-08	24	LAML
TCGA-AB-2827-03B-01W-0728-08	23	LAML
TCGA-AB-2846-03B-01W-0728-08	23	LAML
TCGA-AB-2872-03A-01W-0732-08	23	LAML
TCGA-AB-2898-03A-01W-0733-08	22	LAML
TCGA-AB-2861-03B-01W-0728-08	21	LAML
TCGA-AB-2829-03B-01W-0728-08	19	LAML
TCGA-AB-2939-03A-01W-0745-08	19	LAML
TCGA-AB-2864-03B-01W-0728-08	18	LAML
TCGA-AB-2871-03A-01W-0732-08	18	LAML
TCGA-AB-2927-03A-01W-0755-09	18	LAML
TCGA-AB-2935-03A-01W-0745-08	18	LAML
TCGA-AB-2821-03B-01W-0728-08	17	LAML
TCGA-AB-2877-03A-01W-0732-08	17	LAML
TCGA-AB-2925-03A-01W-0732-08	17	LAML
TCGA-AB-2838-03A-01W-0726-08	16	LAML
TCGA-AB-2860-03B-01W-0728-08	16	LAML
TCGA-AB-2943-03A-01W-0745-08	16	LAML
TCGA-AB-2949-03A-01W-0733-08	16	LAML
TCGA-AB-2822-03D-01W-0755-09	15	LAML
TCGA-AB-2910-03A-01W-0745-08	15	LAML
TCGA-AB-2918-03A-01W-0745-08	15	LAML
TCGA-AB-2956-03A-01W-0733-08	15	LAML
TCGA-AB-2850-03B-01W-0728-08	14	LAML
TCGA-AB-2875-03A-01W-0732-08	14	LAML
TCGA-AB-2915-03A-01W-0745-08	14	LAML
TCGA-AB-2803-03B-01W-0728-08	13	LAML
TCGA-AB-2819-03B-01W-0728-08	13	LAML
TCGA-AB-2834-03B-01W-0728-08	13	LAML
TCGA-AB-2843-03B-01W-0728-08	13	LAML
TCGA-AB-2895-03A-01W-0733-08	13	LAML
TCGA-AB-2919-03A-01W-0745-08	13	LAML
TCGA-AB-2813-03B-01W-0728-08	12	LAML
TCGA-AB-2830-03B-01W-0728-08	12	LAML
TCGA-AB-2859-03B-01W-0728-08	12	LAML
TCGA-AB-2908-03A-01W-0745-08	12	LAML
TCGA-AB-2914-03A-01W-0732-08	12	LAML
TCGA-AB-2917-03A-01W-0732-08	12	LAML
TCGA-AB-2817-03B-01W-0728-08	11	LAML
TCGA-AB-2862-03B-01W-0728-08	11	LAML
TCGA-AB-2886-03A-01W-0732-08	11	LAML
TCGA-AB-2899-03A-01W-0733-08	11	LAML
TCGA-AB-2913-03A-01W-0732-08	11	LAML
TCGA-AB-2839-03B-01W-0728-08	10	LAML
TCGA-AB-2841-03B-01W-0728-08	10	LAML
TCGA-AB-2891-03A-01W-0733-08	10	LAML
TCGA-AB-2916-03A-01W-0732-08	10	LAML
TCGA-AB-2929-03A-01W-0732-08	10	LAML
TCGA-AB-2802-03B-01W-0728-08	9	LAML
TCGA-AB-2847-03B-01W-0728-08	9	LAML
TCGA-AB-2855-03B-01W-0728-08	9	LAML
TCGA-AB-2897-03A-01W-0733-08	9	LAML
TCGA-AB-2936-03A-01W-0745-08	9	LAML
TCGA-AB-2814-03D-01W-0755-09	8	LAML
TCGA-AB-2883-03A-01W-0732-08	8	LAML
TCGA-AB-2934-03A-01W-0745-08	8	LAML
TCGA-AB-2818-03B-01W-0728-08	7	LAML
TCGA-AB-2820-03B-01W-0728-08	7	LAML
TCGA-AB-2858-03D-01W-0755-09	7	LAML
TCGA-AB-2874-03A-01W-0732-08	7	LAML
TCGA-AB-2884-03A-01W-0732-08	7	LAML
TCGA-AB-2911-03A-01W-0732-08	7	LAML
TCGA-AB-2931-03A-01W-0745-08	7	LAML
TCGA-AB-2882-03A-01W-0761-09	6	LAML
TCGA-AB-2888-03A-01W-0732-08	6	LAML
TCGA-AB-2923-03A-01W-0745-08	6	LAML
TCGA-AB-2924-03A-01W-0745-08	6	LAML
TCGA-AB-2937-03A-01W-0732-08	6	LAML
TCGA-AB-2940-03A-01W-0733-08	6	LAML
TCGA-AB-2952-03A-01W-0733-08	6	LAML
TCGA-AB-2954-03A-01W-0733-08	6	LAML
TCGA-AB-2810-03B-01W-0728-08	5	LAML
TCGA-AB-2844-03B-01W-0728-08	5	LAML
TCGA-AB-2881-03A-01W-0732-08	5	LAML
TCGA-AB-2890-03A-01W-0732-08	5	LAML
TCGA-AB-2900-03A-01W-0733-08	5	LAML
TCGA-AB-2920-03A-01W-0732-08	5	LAML
TCGA-AB-2926-03A-01W-0732-08	5	LAML
TCGA-AB-2942-03A-01W-0733-08	5	LAML
TCGA-AB-2811-03B-01W-0728-08	4	LAML
TCGA-AB-2831-03A-01W-0726-08	4	LAML
TCGA-AB-2836-03B-01W-0728-08	4	LAML
TCGA-AB-2863-03D-01W-0755-09	4	LAML
TCGA-AB-2866-03B-01W-0728-08	4	LAML
TCGA-AB-2873-03A-01W-0732-08	4	LAML
TCGA-AB-2879-03A-01W-0732-08	4	LAML
TCGA-AB-2880-03A-01W-0732-08	4	LAML
TCGA-AB-2901-03A-01W-0733-08	4	LAML
TCGA-AB-2945-03A-01W-0733-08	4	LAML
TCGA-AB-2955-03A-01W-0733-08	4	LAML
TCGA-AB-2957-03A-01W-0733-08	4	LAML
TCGA-AB-2816-03B-01W-0728-08	3	LAML
TCGA-AB-2848-03B-01W-0728-08	3	LAML
TCGA-AB-2865-03B-01W-0728-08	3	LAML
TCGA-AB-2869-03A-01W-0761-09	3	LAML
TCGA-AB-2896-03A-01W-0733-08	3	LAML
TCGA-AB-2921-03A-01W-0755-09	3	LAML
TCGA-AB-2809-03D-01W-0755-09	2	LAML
TCGA-AB-2812-03B-01W-0728-08	2	LAML
TCGA-AB-2815-03B-01W-0728-08	2	LAML
TCGA-AB-2870-03A-01W-0732-08	2	LAML
TCGA-AB-2876-03A-01W-0732-08	2	LAML
TCGA-AB-2887-03A-01W-0732-08	2	LAML
TCGA-AB-2889-03A-01W-0732-08	2	LAML
TCGA-AB-2893-03A-01W-0733-08	2	LAML
TCGA-AB-2903-03A-01W-0761-09	2	LAML
TCGA-AB-2909-03A-01W-0745-08	2	LAML
TCGA-AB-2922-03A-01W-0745-08	2	LAML
TCGA-AB-2930-03A-01W-0761-09	2	LAML
TCGA-AB-2932-03A-01W-0745-08	2	LAML
TCGA-AB-2933-03A-01W-0732-08	2	LAML
TCGA-AB-2835-03B-01W-0728-08	1	LAML
TCGA-AB-2845-03D-01W-0755-09	1	LAML
TCGA-AB-2892-03A-01W-0733-08	1	LAML
TCGA-AB-2894-03A-01W-0733-08	1	LAML
TCGA-AB-2944-03A-01W-0755-09	1	LAML
TCGA-AB-2948-03A-01W-0755-09	1	LAML
TCGA-QR-A700-01A-11D-A35D-08	33	PCPG
TCGA-QR-A6GT-01A-11D-A35D-08	23	PCPG
TCGA-WB-A821-01A-11D-A35I-08	23	PCPG
TCGA-P8-A5KC-01A-11D-A35D-08	22	PCPG
TCGA-QR-A70K-01A-12D-A35D-08	22	PCPG
TCGA-RW-A8AZ-01A-11D-A35D-08	22	PCPG
TCGA-SA-A6C2-01A-11D-A35I-08	22	PCPG
TCGA-QT-A5XO-01A-11D-A35D-08	21	PCPG
TCGA-P8-A6RX-01A-11D-A35D-08	20	PCPG
TCGA-QR-A70P-01A-11D-A35D-08	20	PCPG
TCGA-QT-A5XJ-01A-11D-A35D-08	20	PCPG
TCGA-RT-A6YA-01A-12D-A35D-08	20	PCPG
TCGA-RW-A680-01A-11D-A35D-08	20	PCPG
TCGA-RW-A681-01A-11D-A35D-08	20	PCPG
TCGA-SR-A6MP-01A-11D-A35I-08	20	PCPG
TCGA-WB-A81P-01A-11D-A35I-08	19	PCPG
TCGA-QR-A70U-01A-11D-A35D-08	18	PCPG
TCGA-SR-A6MX-05A-11D-A35I-08	18	PCPG
TCGA-SR-A6MX-06A-11D-A35I-08	18	PCPG
TCGA-WB-A81Q-01A-11D-A35I-08	18	PCPG
TCGA-P7-A5NX-01A-11D-A35D-08	17	PCPG
TCGA-WB-A815-01A-11D-A35I-08	17	PCPG
TCGA-PR-A5PF-01A-11D-A35D-08	16	PCPG
TCGA-QR-A6GU-01A-11D-A35D-08	16	PCPG
TCGA-QR-A6GW-01A-11D-A35D-08	16	PCPG
TCGA-QR-A6GY-01A-11D-A35D-08	16	PCPG
TCGA-S7-A7WT-01A-12D-A35I-08	16	PCPG
TCGA-W2-A7HA-01B-11D-A35I-08	16	PCPG
TCGA-W2-A7HC-01A-11D-A35I-08	16	PCPG
TCGA-WB-A80V-01A-12D-A35I-08	16	PCPG
TCGA-WB-A81E-01A-11D-A35I-08	16	PCPG
TCGA-QR-A708-01A-11D-A35D-08	15	PCPG
TCGA-S7-A7X0-01A-12D-A35I-08	15	PCPG
TCGA-SR-A6MX-01A-11D-A35I-08	15	PCPG
TCGA-W2-A7UY-01A-11D-A35I-08	15	PCPG
TCGA-P8-A5KD-01A-11D-A35D-08	14	PCPG
TCGA-PR-A5PG-01A-11D-A35D-08	14	PCPG
TCGA-QT-A5XP-01A-11D-A35D-08	14	PCPG
TCGA-SQ-A6I6-01A-11D-A35I-08	14	PCPG
TCGA-WB-A81T-01A-11D-A35I-08	14	PCPG
TCGA-WB-A81W-01A-11D-A35I-08	14	PCPG
TCGA-QR-A6H1-01A-11D-A35D-08	13	PCPG
TCGA-QR-A6ZZ-01A-11D-A35D-08	13	PCPG
TCGA-QR-A70N-01A-12D-A35D-08	13	PCPG
TCGA-QR-A70V-01A-11D-A35D-08	13	PCPG
TCGA-S7-A7WM-01A-12D-A35I-08	13	PCPG
TCGA-S7-A7X2-01A-12D-A35I-08	13	PCPG
TCGA-SP-A6QF-01A-12D-A35I-08	13	PCPG
TCGA-W2-A7HD-01A-11D-A35I-08	13	PCPG
TCGA-WB-A80Q-01A-11D-A35I-08	13	PCPG
TCGA-WB-A81D-01A-11D-A35I-08	13	PCPG
TCGA-QR-A6GR-01A-11D-A35D-08	12	PCPG
TCGA-QR-A6GX-01A-11D-A35D-08	12	PCPG
TCGA-QR-A70G-01B-11D-A35D-08	12	PCPG
TCGA-QR-A70O-01A-11D-A35D-08	12	PCPG
TCGA-RW-A688-01A-11D-A35D-08	12	PCPG
TCGA-WB-A80K-01A-11D-A35I-08	12	PCPG
TCGA-QR-A6GO-01A-11D-A35D-08	11	PCPG
TCGA-QR-A70H-01A-12D-A35D-08	11	PCPG
TCGA-QR-A70J-01A-11D-A35D-08	11	PCPG
TCGA-QR-A7IP-01A-11D-A35D-08	11	PCPG
TCGA-RW-A67V-01A-11D-A35D-08	11	PCPG
TCGA-S7-A7WL-01A-11D-A35I-08	11	PCPG
TCGA-SP-A6QJ-01A-11D-A35I-08	11	PCPG
TCGA-WB-A816-01A-11D-A35I-08	11	PCPG
TCGA-WB-A81H-01A-11D-A35I-08	11	PCPG
TCGA-QR-A6H4-01A-11D-A35D-08	10	PCPG
TCGA-QR-A70T-01A-11D-A35D-08	10	PCPG
TCGA-QT-A69Q-01A-11D-A35D-08	10	PCPG
TCGA-RW-A67X-01A-11D-A35D-08	10	PCPG
TCGA-RW-A684-01A-12D-A35D-08	10	PCPG
TCGA-RW-A686-01A-11D-A35D-08	10	PCPG
TCGA-RW-A68C-01A-11D-A35D-08	10	PCPG
TCGA-RW-A68D-01A-11D-A35D-08	10	PCPG
TCGA-RX-A8JQ-01A-11D-A35D-08	10	PCPG
TCGA-SQ-A6I4-01A-11D-A35I-08	10	PCPG
TCGA-SR-A6MU-01A-11D-A35I-08	10	PCPG
TCGA-W2-A7H7-01A-11D-A35I-08	10	PCPG
TCGA-WB-A80N-01A-11D-A35I-08	10	PCPG
TCGA-QR-A707-01A-11D-A35D-08	9	PCPG
TCGA-QR-A70E-01A-11D-A35D-08	9	PCPG
TCGA-QT-A5XN-01A-11D-A35D-08	9	PCPG
TCGA-RM-A68T-01A-11D-A35D-08	9	PCPG
TCGA-RW-A685-01A-11D-A35D-08	9	PCPG
TCGA-RW-A68F-01A-11D-A35D-08	9	PCPG
TCGA-RW-A7CZ-01A-11D-A35D-08	9	PCPG
TCGA-S7-A7WQ-01A-12D-A35I-08	9	PCPG
TCGA-SR-A6MR-01A-11D-A35I-08	9	PCPG
TCGA-W2-A7HB-01A-11D-A35I-08	9	PCPG
TCGA-W2-A7HH-01A-11D-A35I-08	9	PCPG
TCGA-WB-A80O-01A-11D-A35I-08	9	PCPG
TCGA-WB-A814-01A-11D-A35I-08	9	PCPG
TCGA-WB-A81I-01A-11D-A35I-08	9	PCPG
TCGA-WB-A81S-01A-11D-A35I-08	9	PCPG
TCGA-WB-A81V-01A-11D-A35I-08	9	PCPG
TCGA-WB-A820-01A-11D-A35I-08	9	PCPG
TCGA-PR-A5PH-01A-11D-A35D-08	8	PCPG
TCGA-QR-A6GS-01A-11D-A35D-08	8	PCPG
TCGA-QR-A6H2-01A-11D-A35D-08	8	PCPG
TCGA-QR-A706-01A-11D-A35D-08	8	PCPG
TCGA-QR-A70C-01A-21D-A35D-08	8	PCPG
TCGA-QR-A70M-01A-11D-A35D-08	8	PCPG
TCGA-QR-A70Q-01A-13D-A35D-08	8	PCPG
TCGA-QR-A70R-01A-11D-A35D-08	8	PCPG
TCGA-QT-A5XK-01A-11D-A35D-08	8	PCPG
TCGA-RW-A67W-01A-11D-A35D-08	8	PCPG
TCGA-RW-A67Y-01A-11D-A35D-08	8	PCPG
TCGA-RW-A686-06A-11D-A35D-08	8	PCPG
TCGA-RW-A689-01A-11D-A35D-08	8	PCPG
TCGA-S7-A7WW-01A-11D-A35I-08	8	PCPG
TCGA-SP-A6QC-01A-11D-A35I-08	8	PCPG
TCGA-SP-A6QK-01A-11D-A35I-08	8	PCPG
TCGA-SR-A6N0-01A-11D-A35I-08	8	PCPG
TCGA-TT-A6YK-01A-11D-A35I-08	8	PCPG
TCGA-WB-A817-01A-11D-A35I-08	8	PCPG
TCGA-WB-A818-01A-11D-A35I-08	8	PCPG
TCGA-WB-A81J-01A-11D-A35I-08	8	PCPG
TCGA-WB-A81M-01A-11D-A35I-08	8	PCPG
TCGA-QR-A6H6-01A-11D-A35D-08	7	PCPG
TCGA-QR-A702-01A-11D-A35D-08	7	PCPG
TCGA-QR-A705-01A-11D-A35D-08	7	PCPG
TCGA-QR-A70A-01A-11D-A35D-08	7	PCPG
TCGA-QR-A70D-01A-11D-A35D-08	7	PCPG
TCGA-QT-A5XM-01A-11D-A35D-08	7	PCPG
TCGA-RW-A7D0-01A-11D-A35D-08	7	PCPG
TCGA-S7-A7X1-01A-11D-A35I-08	7	PCPG
TCGA-SP-A6QH-01A-21D-A35I-08	7	PCPG
TCGA-SR-A6MT-01A-11D-A35I-08	7	PCPG
TCGA-SR-A6MV-01A-11D-A35I-08	7	PCPG
TCGA-TT-A6YJ-01A-11D-A35I-08	7	PCPG
TCGA-WB-A80M-01A-11D-A35I-08	7	PCPG
TCGA-WB-A80Y-01A-11D-A35I-08	7	PCPG
TCGA-WB-A81G-01A-11D-A35I-08	7	PCPG
TCGA-WB-A81R-01A-11D-A35I-08	7	PCPG
TCGA-P7-A5NY-01A-12D-A35D-08	6	PCPG
TCGA-QR-A6H5-01A-11D-A35D-08	6	PCPG
TCGA-QR-A7IN-01A-11D-A35D-08	6	PCPG
TCGA-RM-A68W-01A-11D-A35D-08	6	PCPG
TCGA-SP-A6QD-01A-12D-A35I-08	6	PCPG
TCGA-SR-A6MQ-01A-11D-A35I-08	6	PCPG
TCGA-TT-A6YP-01A-21D-A35I-08	6	PCPG
TCGA-WB-A819-01A-11D-A35I-08	6	PCPG
TCGA-WB-A81A-01A-11D-A35I-08	6	PCPG
TCGA-WB-A81K-01A-11D-A35I-08	6	PCPG
TCGA-XG-A823-01A-11D-A35I-08	6	PCPG
TCGA-QR-A70W-01A-12D-A35D-08	5	PCPG
TCGA-QR-A70X-01A-11D-A35D-08	5	PCPG
TCGA-RW-A68B-01A-11D-A35D-08	5	PCPG
TCGA-S7-A7WV-01A-11D-A35I-08	5	PCPG
TCGA-S7-A7WX-01A-11D-A35I-08	5	PCPG
TCGA-SR-A6MY-01A-11D-A35I-08	5	PCPG
TCGA-W2-A7HF-01A-11D-A35I-08	5	PCPG
TCGA-WB-A822-01A-11D-A35I-08	5	PCPG
TCGA-P8-A6RY-01A-12D-A35D-08	4	PCPG
TCGA-QR-A6GZ-01A-11D-A35D-08	4	PCPG
TCGA-QR-A6H0-01A-11D-A35D-08	4	PCPG
TCGA-QR-A703-01A-11D-A35D-08	4	PCPG
TCGA-QR-A70I-01A-11D-A35D-08	4	PCPG
TCGA-QT-A5XL-01A-11D-A35D-08	4	PCPG
TCGA-RT-A6Y9-01A-12D-A35D-08	4	PCPG
TCGA-RW-A68A-01A-11D-A35D-08	4	PCPG
TCGA-RW-A68G-01A-11D-A35D-08	4	PCPG
TCGA-S7-A7WN-01A-12D-A35I-08	4	PCPG
TCGA-SP-A6QG-01A-12D-A35I-08	4	PCPG
TCGA-SP-A6QI-01A-12D-A35I-08	4	PCPG
TCGA-WB-A81F-01A-11D-A35I-08	4	PCPG
TCGA-P7-A5NY-05A-11D-A35D-08	3	PCPG
TCGA-QR-A6GZ-05A-11D-A35D-08	3	PCPG
TCGA-QR-A6H3-01A-11D-A35D-08	3	PCPG
TCGA-QT-A7U0-01A-11D-A35D-08	3	PCPG
TCGA-RT-A6YC-01A-12D-A35D-08	3	PCPG
TCGA-S7-A7WO-01A-11D-A35I-08	3	PCPG
TCGA-S7-A7WP-01A-11D-A35I-08	3	PCPG
TCGA-S7-A7WR-01A-11D-A35I-08	3	PCPG
TCGA-SR-A6MS-01A-11D-A35I-08	3	PCPG
TCGA-SR-A6MZ-01A-11D-A35I-08	3	PCPG
TCGA-TT-A6YN-01A-12D-A35I-08	3	PCPG
TCGA-W2-A7H5-01B-11D-A35I-08	3	PCPG
TCGA-W2-A7HE-01A-11D-A35I-08	3	PCPG
TCGA-WB-A80P-01A-11D-A35I-08	3	PCPG
TCGA-WB-A81N-01A-11D-A35I-08	3	PCPG
TCGA-S7-A7WU-01A-11D-A35I-08	2	PCPG
TCGA-TT-A6YO-01A-11D-A35I-08	1	PCPG
TCGA-DJ-A2QB-01A-11D-A19J-08	457	THCA
TCGA-E8-A2EA-01A-11D-A17V-08	302	THCA
TCGA-FY-A3BL-01A-11D-A19J-08	263	THCA
TCGA-ET-A39R-01A-11D-A19J-08	253	THCA
TCGA-EM-A2CN-01A-11D-A19J-08	142	THCA
TCGA-EM-A22J-01A-11D-A17V-08	114	THCA
TCGA-BJ-A191-01A-11D-A13W-08	96	THCA
TCGA-BJ-A290-01A-11D-A17V-08	79	THCA
TCGA-EM-A22M-01A-11D-A17V-08	76	THCA
TCGA-DJ-A2PX-01A-11D-A18F-08	75	THCA
TCGA-EL-A3CT-01A-12D-A202-08	65	THCA
TCGA-EL-A3ZO-01A-11D-A23M-08	65	THCA
TCGA-ET-A39P-01A-21D-A19J-08	62	THCA
TCGA-BJ-A2NA-01A-12D-A19J-08	58	THCA
TCGA-DO-A2HM-01B-11D-A22D-08	57	THCA
TCGA-EM-A2CL-01A-11D-A17V-08	56	THCA
TCGA-H2-A2K9-01A-11D-A17V-08	56	THCA
TCGA-EM-A2CJ-01A-11D-A17V-08	52	THCA
TCGA-ET-A2MY-01A-11D-A18F-08	51	THCA
TCGA-4C-A93U-01A-11D-A397-08	44	THCA
TCGA-EL-A4K7-01A-11D-A257-08	41	THCA
TCGA-L6-A4EU-01A-11D-A257-08	41	THCA
TCGA-BJ-A0ZB-01A-11D-A10S-08	36	THCA
TCGA-IM-A3U2-01A-21D-A22D-08	35	THCA
TCGA-BJ-A4O9-01A-11D-A257-08	34	THCA
TCGA-E8-A2JQ-01A-11D-A19J-08	34	THCA
TCGA-J8-A4HY-01A-11D-A257-08	33	THCA
TCGA-DJ-A13L-01A-11D-A21Z-08	32	THCA
TCGA-EM-A2OZ-01A-11D-A202-08	32	THCA
TCGA-E8-A418-01A-11D-A23M-08	31	THCA
TCGA-EM-A22O-01A-11D-A17V-08	31	THCA
TCGA-BJ-A3PU-01A-11D-A21Z-08	30	THCA
TCGA-EL-A4KG-01A-11D-A257-08	30	THCA
TCGA-EM-A1CT-01A-11D-A13W-08	30	THCA
TCGA-EM-A1YB-01A-11D-A14W-08	30	THCA
TCGA-DJ-A4UT-01A-11D-A257-08	28	THCA
TCGA-EL-A3CR-01A-12D-A202-08	28	THCA
TCGA-EM-A3O3-01A-11D-A21Z-08	28	THCA
TCGA-BJ-A0Z0-01A-11D-A10S-08	27	THCA
TCGA-DJ-A2Q0-01A-11D-A202-08	27	THCA
TCGA-DJ-A3V7-01A-11D-A23M-08	27	THCA
TCGA-EL-A3MX-01A-11D-A21A-08	27	THCA
TCGA-EM-A1CU-01A-11D-A13W-08	27	THCA
TCGA-EM-A3SX-01A-11D-A22Z-08	26	THCA
TCGA-BJ-A2N8-01A-11D-A18F-08	25	THCA
TCGA-EL-A3D6-01A-12D-A202-08	25	THCA
TCGA-H2-A26U-01A-11D-A16O-08	25	THCA
TCGA-DE-A4MD-06A-11D-A257-08	24	THCA
TCGA-E8-A417-01A-21D-A23M-08	24	THCA
TCGA-EL-A3MZ-01A-11D-A21A-08	24	THCA
TCGA-IM-A41Y-01A-11D-A23U-08	24	THCA
TCGA-EM-A2CM-01A-11D-A17V-08	23	THCA
TCGA-BJ-A3EZ-01A-11D-A202-08	22	THCA
TCGA-BJ-A45D-01A-11D-A23U-08	22	THCA
TCGA-DE-A4MD-01A-11D-A257-08	22	THCA
TCGA-E3-A3DZ-01A-11D-A20C-08	22	THCA
TCGA-EM-A22L-01A-11D-A17V-08	22	THCA
TCGA-ET-A3BV-01A-11D-A19J-08	22	THCA
TCGA-IM-A3U3-01A-11D-A22D-08	22	THCA
TCGA-BJ-A28V-01A-11D-A19J-08	21	THCA
TCGA-DE-A0XZ-01A-11D-A17V-08	21	THCA
TCGA-DE-A4MB-01A-11D-A257-08	21	THCA
TCGA-EL-A3H1-01A-11D-A21A-08	21	THCA
TCGA-EM-A3SZ-01A-11D-A22Z-08	21	THCA
TCGA-J8-A3YF-01A-12D-A23M-08	21	THCA
TCGA-BJ-A0ZH-01A-11D-A10S-08	20	THCA
TCGA-BJ-A18Z-01A-21D-A13W-08	20	THCA
TCGA-BJ-A45F-01A-12D-A23U-08	20	THCA
TCGA-BJ-A45G-01A-11D-A23U-08	20	THCA
TCGA-DJ-A4V4-01A-11D-A257-08	20	THCA
TCGA-EM-A4FV-01A-11D-A257-08	20	THCA
TCGA-DJ-A2PW-01A-11D-A19J-08	19	THCA
TCGA-EL-A3H7-01A-11D-A21A-08	19	THCA
TCGA-EL-A4K6-01A-12D-A257-08	19	THCA
TCGA-EM-A2CK-01A-11D-A17V-08	19	THCA
TCGA-EM-A2CT-01A-11D-A17V-08	19	THCA
TCGA-EM-A4FM-01A-11D-A257-08	19	THCA
TCGA-ET-A3BT-01A-11D-A19J-08	19	THCA
TCGA-BJ-A0Z9-01A-11D-A10S-08	18	THCA
TCGA-BJ-A0ZF-01A-11D-A10S-08	18	THCA
TCGA-BJ-A45J-01A-11D-A23U-08	18	THCA
TCGA-DJ-A2PZ-01A-21D-A18F-08	18	THCA
TCGA-E8-A432-01A-11D-A23M-08	18	THCA
TCGA-EL-A3CM-01A-11D-A19J-08	18	THCA
TCGA-EL-A3GU-01A-11D-A21A-08	18	THCA
TCGA-EL-A4KI-01A-11D-A257-08	18	THCA
TCGA-EM-A3ST-01A-11D-A22Z-08	18	THCA
TCGA-ET-A39J-01A-11D-A19J-08	18	THCA
TCGA-H2-A421-01A-11D-A23M-08	18	THCA
TCGA-DJ-A1QE-01A-21D-A14W-08	17	THCA
TCGA-DJ-A1QH-01A-21D-A14W-08	17	THCA
TCGA-DJ-A3V5-01A-11D-A22Z-08	17	THCA
TCGA-EL-A3GV-01A-11D-A21A-08	17	THCA
TCGA-EL-A3H5-01A-11D-A202-08	17	THCA
TCGA-EL-A3MY-01A-11D-A21A-08	17	THCA
TCGA-EL-A3T9-01A-21D-A22D-08	17	THCA
TCGA-EM-A2P2-01A-11D-A202-08	17	THCA
TCGA-EM-A3FN-01A-11D-A21A-08	17	THCA
TCGA-FE-A3PC-01A-11D-A21Z-08	17	THCA
TCGA-J8-A3O1-01A-11D-A21A-08	17	THCA
TCGA-MK-A84Z-01A-11D-A397-08	17	THCA
TCGA-BJ-A0YZ-01A-11D-A10S-08	16	THCA
TCGA-BJ-A0Z2-01A-11D-A10S-08	16	THCA
TCGA-BJ-A28R-01A-11D-A16O-08	16	THCA
TCGA-BJ-A28S-01A-11D-A19J-08	16	THCA
TCGA-BJ-A3PT-01A-12D-A21Z-08	16	THCA
TCGA-CE-A484-01A-11D-A23U-08	16	THCA
TCGA-DE-A0Y2-01A-11D-A10S-08	16	THCA
TCGA-DJ-A2Q1-01A-22D-A19J-08	16	THCA
TCGA-DJ-A2Q4-01A-21D-A18F-08	16	THCA
TCGA-DJ-A2Q9-01A-21D-A18F-08	16	THCA
TCGA-DJ-A3UN-01A-11D-A22D-08	16	THCA
TCGA-DJ-A3V0-01A-11D-A22Z-08	16	THCA
TCGA-EL-A3CS-01A-21D-A19J-08	16	THCA
TCGA-EL-A3CU-01A-11D-A19J-08	16	THCA
TCGA-EL-A3D0-01A-12D-A202-08	16	THCA
TCGA-EL-A3T3-01A-11D-A22D-08	16	THCA
TCGA-EL-A3TB-01A-11D-A22D-08	16	THCA
TCGA-EM-A1CW-01A-21D-A13W-08	16	THCA
TCGA-EM-A3FR-01A-11D-A21Z-08	16	THCA
TCGA-ET-A3DW-01A-11D-A19J-08	16	THCA
TCGA-FE-A22Z-01A-11D-A17V-08	16	THCA
TCGA-FE-A237-01A-11D-A16O-08	16	THCA
TCGA-FK-A3SD-01A-11D-A22D-08	16	THCA
TCGA-BJ-A0ZE-01A-11D-A10S-08	15	THCA
TCGA-BJ-A28Z-01A-11D-A16O-08	15	THCA
TCGA-BJ-A45I-01A-11D-A23U-08	15	THCA
TCGA-DJ-A2Q3-01A-11D-A18F-08	15	THCA
TCGA-DJ-A3VI-01A-11D-A23M-08	15	THCA
TCGA-DJ-A4UQ-01A-11D-A257-08	15	THCA
TCGA-EL-A3CN-01A-12D-A20C-08	15	THCA
TCGA-EL-A3GP-01A-11D-A202-08	15	THCA
TCGA-EL-A4K9-01A-11D-A257-08	15	THCA
TCGA-EM-A2CP-01A-11D-A17V-08	15	THCA
TCGA-EM-A2CU-01A-12D-A17V-08	15	THCA
TCGA-EM-A2OV-01A-11D-A202-08	15	THCA
TCGA-ET-A25K-01A-11D-A16O-08	15	THCA
TCGA-ET-A2N1-01A-11D-A18F-08	15	THCA
TCGA-ET-A2N4-01A-12D-A19J-08	15	THCA
TCGA-ET-A3BQ-01B-11D-A202-08	15	THCA
